INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
23,10003956,NWES,Liverpool Hope University†,2,"Public Health, Health Services and Primary Care",Z,3
23,10003956,NWES,Liverpool Hope University†,4,"Psychology, Psychiatry and Neuroscience",Z,17
23,10003956,NWES,Liverpool Hope University†,5,Biological Sciences,Z,4
23,10003956,NWES,Liverpool Hope University†,11,Computer Science and Informatics,Z,8
23,10003956,NWES,Liverpool Hope University†,17,"Geography, Environmental Studies and Archaeology",Z,6
23,10003956,NWES,Liverpool Hope University†,19,Business and Management Studies,Z,12
23,10003956,NWES,Liverpool Hope University†,21,Politics and International Studies,Z,8
23,10003956,NWES,Liverpool Hope University†,22,Social Work and Social Policy,Z,13
23,10003956,NWES,Liverpool Hope University†,23,Sociology,Z,4
23,10003956,NWES,Liverpool Hope University†,25,Education,Z,46
23,10003956,NWES,Liverpool Hope University†,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,10
23,10003956,NWES,Liverpool Hope University†,29,English Language and Literature,Z,16
23,10003956,NWES,Liverpool Hope University†,30,History,Z,11
23,10003956,NWES,Liverpool Hope University†,33,Theology and Religious Studies,Z,18
23,10003956,NWES,Liverpool Hope University†,34,"Art and Design: History, Practice and Theory",Z,4
23,10003956,NWES,Liverpool Hope University†,35,"Music, Drama, Dance and Performing Arts",A,7
23,10003956,NWES,Liverpool Hope University†,35,"Music, Drama, Dance and Performing Arts",B,9
23,10003956,NWES,Liverpool Hope University†,35,"Music, Drama, Dance and Performing Arts",Z,4
23,10003956,NWES,Liverpool Hope University†,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,4
23,10003956,NWES,Liverpool Hope University†,N/A,UoA not recorded,Not recorded,8
65,10003957,NWES,Liverpool John Moores University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,169
65,10003957,NWES,Liverpool John Moores University,4,"Psychology, Psychiatry and Neuroscience",Z,31
65,10003957,NWES,Liverpool John Moores University,9,Physics,Z,30
65,10003957,NWES,Liverpool John Moores University,11,Computer Science and Informatics,Z,49
65,10003957,NWES,Liverpool John Moores University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,45
65,10003957,NWES,Liverpool John Moores University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,19
65,10003957,NWES,Liverpool John Moores University,15,General Engineering,Z,15
65,10003957,NWES,Liverpool John Moores University,16,"Architecture, Built Environment and Planning",Z,78
65,10003957,NWES,Liverpool John Moores University,17,"Geography, Environmental Studies and Archaeology",Z,13
65,10003957,NWES,Liverpool John Moores University,19,Business and Management Studies,Z,60
65,10003957,NWES,Liverpool John Moores University,20,Law,Z,44
65,10003957,NWES,Liverpool John Moores University,22,Social Work and Social Policy,Z,37
65,10003957,NWES,Liverpool John Moores University,24,Anthropology and Development Studies,Z,26
65,10003957,NWES,Liverpool John Moores University,25,Education,Z,117
65,10003957,NWES,Liverpool John Moores University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,56
65,10003957,NWES,Liverpool John Moores University,29,English Language and Literature,Z,28
65,10003957,NWES,Liverpool John Moores University,30,History,Z,10
65,10003957,NWES,Liverpool John Moores University,34,"Art and Design: History, Practice and Theory",Z,36
65,10003957,NWES,Liverpool John Moores University,35,"Music, Drama, Dance and Performing Arts",Z,6
65,10003957,NWES,Liverpool John Moores University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,57
126,10006842,NWES,The University of Liverpool,1,Clinical Medicine,Z,211
126,10006842,NWES,The University of Liverpool,2,"Public Health, Health Services and Primary Care",Z,44
126,10006842,NWES,The University of Liverpool,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,22
126,10006842,NWES,The University of Liverpool,4,"Psychology, Psychiatry and Neuroscience",Z,49
126,10006842,NWES,The University of Liverpool,5,Biological Sciences,Z,20
126,10006842,NWES,The University of Liverpool,6,"Agriculture, Veterinary and Food Science",Z,92
126,10006842,NWES,The University of Liverpool,7,Earth Systems and Environmental Sciences,Z,33
126,10006842,NWES,The University of Liverpool,8,Chemistry,Z,41
126,10006842,NWES,The University of Liverpool,9,Physics,Z,45
126,10006842,NWES,The University of Liverpool,10,Mathematical Sciences,Z,47
126,10006842,NWES,The University of Liverpool,11,Computer Science and Informatics,Z,33
126,10006842,NWES,The University of Liverpool,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,30
126,10006842,NWES,The University of Liverpool,15,General Engineering,Z,47
126,10006842,NWES,The University of Liverpool,16,"Architecture, Built Environment and Planning",Z,26
126,10006842,NWES,The University of Liverpool,17,"Geography, Environmental Studies and Archaeology",A,38
126,10006842,NWES,The University of Liverpool,17,"Geography, Environmental Studies and Archaeology",B,22
126,10006842,NWES,The University of Liverpool,19,Business and Management Studies,Z,86
126,10006842,NWES,The University of Liverpool,20,Law,Z,35
126,10006842,NWES,The University of Liverpool,21,Politics and International Studies,Z,11
126,10006842,NWES,The University of Liverpool,22,Social Work and Social Policy,Z,25
126,10006842,NWES,The University of Liverpool,28,Modern Languages and Linguistics,Z,26
126,10006842,NWES,The University of Liverpool,29,English Language and Literature,Z,31
126,10006842,NWES,The University of Liverpool,30,History,Z,28
126,10006842,NWES,The University of Liverpool,31,Classics,Z,10
126,10006842,NWES,The University of Liverpool,32,Philosophy,Z,9
126,10006842,NWES,The University of Liverpool,35,"Music, Drama, Dance and Performing Arts",Z,13
126,10006842,NWES,The University of Liverpool,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,9
228,10003958,NWES,Liverpool School of Tropical Medicine,1,Clinical Medicine,Z,107
228,10003958,NWES,Liverpool School of Tropical Medicine,2,"Public Health, Health Services and Primary Care",Z,3
24,10007162,LOND,"University of the Arts, London",34,"Art and Design: History, Practice and Theory",Z,109
24,10007162,LOND,"University of the Arts, London",N/A,UoA not recorded,Not recorded,553
135,10007769,LOND,London Business School,19,Business and Management Studies,Z,105
151,10007797,LOND,University of London (Institutes and activities),6,"Agriculture, Veterinary and Food Science",Z,3
151,10007797,LOND,University of London (Institutes and activities),20,Law,Z,2
151,10007797,LOND,University of London (Institutes and activities),27,Area Studies,Z,4
151,10007797,LOND,University of London (Institutes and activities),28,Modern Languages and Linguistics,Z,7
151,10007797,LOND,University of London (Institutes and activities),29,English Language and Literature,Z,2
151,10007797,LOND,University of London (Institutes and activities),30,History,Z,8
151,10007797,LOND,University of London (Institutes and activities),31,Classics,Z,1
151,10007797,LOND,University of London (Institutes and activities),32,Philosophy,Z,3
151,10007797,LOND,University of London (Institutes and activities),36,"Communication, Cultural and Media Studies, Library and Information Management",Z,1
202,10004048,LOND,London Metropolitan University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,54
202,10004048,LOND,London Metropolitan University,4,"Psychology, Psychiatry and Neuroscience",Z,22
202,10004048,LOND,London Metropolitan University,10,Mathematical Sciences,Z,5
202,10004048,LOND,London Metropolitan University,11,Computer Science and Informatics,Z,48
202,10004048,LOND,London Metropolitan University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,3
202,10004048,LOND,London Metropolitan University,16,"Architecture, Built Environment and Planning",Z,25
202,10004048,LOND,London Metropolitan University,18,Economics and Econometrics,Z,9
202,10004048,LOND,London Metropolitan University,19,Business and Management Studies,Z,123
202,10004048,LOND,London Metropolitan University,20,Law,Z,37
202,10004048,LOND,London Metropolitan University,21,Politics and International Studies,Z,19
202,10004048,LOND,London Metropolitan University,22,Social Work and Social Policy,Z,39
202,10004048,LOND,London Metropolitan University,23,Sociology,Z,5
202,10004048,LOND,London Metropolitan University,25,Education,Z,32
202,10004048,LOND,London Metropolitan University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,8
202,10004048,LOND,London Metropolitan University,27,Area Studies,Z,37
202,10004048,LOND,London Metropolitan University,28,Modern Languages and Linguistics,Z,5
202,10004048,LOND,London Metropolitan University,32,Philosophy,Z,1
202,10004048,LOND,London Metropolitan University,34,"Art and Design: History, Practice and Theory",Z,43
202,10004048,LOND,London Metropolitan University,35,"Music, Drama, Dance and Performing Arts",Z,3
202,10004048,LOND,London Metropolitan University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,32
76,10004078,LOND,London South Bank University,2,"Public Health, Health Services and Primary Care",Z,18
76,10004078,LOND,London South Bank University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,28
76,10004078,LOND,London South Bank University,4,"Psychology, Psychiatry and Neuroscience",Z,16
76,10004078,LOND,London South Bank University,5,Biological Sciences,Z,12
76,10004078,LOND,London South Bank University,6,"Agriculture, Veterinary and Food Science",Z,3
76,10004078,LOND,London South Bank University,11,Computer Science and Informatics,Z,7
76,10004078,LOND,London South Bank University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,16
76,10004078,LOND,London South Bank University,15,General Engineering,Z,37
76,10004078,LOND,London South Bank University,16,"Architecture, Built Environment and Planning",Z,22
76,10004078,LOND,London South Bank University,19,Business and Management Studies,Z,32
76,10004078,LOND,London South Bank University,20,Law,Z,4
76,10004078,LOND,London South Bank University,22,Social Work and Social Policy,Z,20
76,10004078,LOND,London South Bank University,23,Sociology,Z,8
76,10004078,LOND,London South Bank University,25,Education,Z,2
76,10004078,LOND,London South Bank University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,9
76,10004078,LOND,London South Bank University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,16
137,10004063,LOND,London School of Economics and Political Science,4,"Psychology, Psychiatry and Neuroscience",Z,16
137,10004063,LOND,London School of Economics and Political Science,10,Mathematical Sciences,Z,39
137,10004063,LOND,London School of Economics and Political Science,17,"Geography, Environmental Studies and Archaeology",Z,44
137,10004063,LOND,London School of Economics and Political Science,18,Economics and Econometrics,Z,56
137,10004063,LOND,London School of Economics and Political Science,19,Business and Management Studies,Z,107
137,10004063,LOND,London School of Economics and Political Science,20,Law,Z,63
137,10004063,LOND,London School of Economics and Political Science,21,Politics and International Studies,Z,76
137,10004063,LOND,London School of Economics and Political Science,22,Social Work and Social Policy,Z,50
137,10004063,LOND,London School of Economics and Political Science,23,Sociology,Z,27
137,10004063,LOND,London School of Economics and Political Science,24,Anthropology and Development Studies,A,19
137,10004063,LOND,London School of Economics and Political Science,24,Anthropology and Development Studies,B,27
137,10004063,LOND,London School of Economics and Political Science,27,Area Studies,Z,21
137,10004063,LOND,London School of Economics and Political Science,30,History,Z,47
137,10004063,LOND,London School of Economics and Political Science,32,Philosophy,Z,18
137,10004063,LOND,London School of Economics and Political Science,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,18
138,10007771,LOND,London School of Hygiene and Tropical Medicine,1,Clinical Medicine,Z,68
138,10007771,LOND,London School of Hygiene and Tropical Medicine,2,"Public Health, Health Services and Primary Care",Z,311
152,10004113,EMID,Loughborough University,8,Chemistry,Z,25
152,10004113,EMID,Loughborough University,9,Physics,Z,20
152,10004113,EMID,Loughborough University,10,Mathematical Sciences,Z,36
152,10004113,EMID,Loughborough University,11,Computer Science and Informatics,Z,19
152,10004113,EMID,Loughborough University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,137
152,10004113,EMID,Loughborough University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,40
152,10004113,EMID,Loughborough University,14,Civil and Construction engineering,Z,32
152,10004113,EMID,Loughborough University,16,"Architecture, Built Environment and Planning",Z,32
152,10004113,EMID,Loughborough University,17,"Geography, Environmental Studies and Archaeology",Z,30
152,10004113,EMID,Loughborough University,18,Economics and Econometrics,Z,14
152,10004113,EMID,Loughborough University,19,Business and Management Studies,Z,76
152,10004113,EMID,Loughborough University,22,Social Work and Social Policy,Z,11
152,10004113,EMID,Loughborough University,25,Education,Z,11
152,10004113,EMID,Loughborough University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,74
